Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,22087,Sun Oct 29 01:24:51 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22088,Sun Oct 29 01:24:51 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,22089,Sun Oct 29 01:24:52 BRT 2023,GET,https://update.googleapis.com/,404,Not Found,115,212,1561,Medium,false,
Out of Scope,22090,Sun Oct 29 01:24:52 BRT 2023,GET,https://www.google.com/images/errors/robot.png,403,Forbidden,0,130,40,,false,
Out of Scope,22091,Sun Oct 29 01:24:52 BRT 2023,GET,https://www.google.com/images/branding/googlelogo/1x/googlelogo_color_150x54dp.png,403,Forbidden,0,130,40,,false,
Processed,22092,Sun Oct 29 01:24:52 BRT 2023,GET,https://update.googleapis.com/favicon.ico,404,Not Found,113,212,1572,Medium,false,
Processed,22093,Sun Oct 29 01:24:53 BRT 2023,GET,https://update.googleapis.com/,404,Not Found,114,212,1561,Medium,false,
Out of Scope,22094,Sun Oct 29 01:24:53 BRT 2023,GET,https://www.google.com/images/errors/robot.png,403,Forbidden,0,130,40,,false,
Out of Scope,22095,Sun Oct 29 01:24:53 BRT 2023,GET,https://www.google.com/images/branding/googlelogo/1x/googlelogo_color_150x54dp.png,403,Forbidden,0,130,40,,false,
Out of Scope,22096,Sun Oct 29 01:24:55 BRT 2023,GET,https://www.google.com/,403,Forbidden,0,130,40,,false,
Out of Scope,22097,Sun Oct 29 01:24:55 BRT 2023,GET,https://www.google.com/favicon.ico,403,Forbidden,0,130,40,,false,
Out of Scope,22098,Sun Oct 29 01:24:55 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22099,Sun Oct 29 01:24:55 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22100,Sun Oct 29 01:24:58 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22101,Sun Oct 29 01:24:58 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22102,Sun Oct 29 01:25:00 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22103,Sun Oct 29 01:25:00 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22104,Sun Oct 29 01:25:03 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22105,Sun Oct 29 01:25:03 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22106,Sun Oct 29 01:25:05 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22107,Sun Oct 29 01:25:05 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22108,Sun Oct 29 01:25:07 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22109,Sun Oct 29 01:25:07 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22110,Sun Oct 29 01:25:09 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22111,Sun Oct 29 01:25:10 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22112,Sun Oct 29 01:25:12 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22113,Sun Oct 29 01:25:12 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22114,Sun Oct 29 01:25:14 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22115,Sun Oct 29 01:25:14 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22116,Sun Oct 29 01:25:17 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22117,Sun Oct 29 01:25:17 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22118,Sun Oct 29 01:25:19 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22119,Sun Oct 29 01:25:19 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22120,Sun Oct 29 01:25:21 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22121,Sun Oct 29 01:25:22 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22122,Sun Oct 29 01:25:24 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22123,Sun Oct 29 01:25:24 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22124,Sun Oct 29 01:25:26 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22125,Sun Oct 29 01:25:26 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,22126,Sun Oct 29 01:25:28 BRT 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,22127,Sun Oct 29 01:25:29 BRT 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=119.0&pver=2.2,403,Forbidden,0,130,40,,false,
