Configuration,Language,File Path,Successfully Extracted
/language:javascript-typescript,JavaScript,e2e/entries/SampleApp.e2e.js,true
/language:javascript-typescript,JavaScript,package/metro-dev-helpers/lib/index.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageInput/__tests__/SendButton.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/deleteMessage.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/connectionRecovered.js,true
/language:javascript-typescript,JavaScript,examples/ExpoMessaging/babel.config.js,true
/language:javascript-typescript,JavaScript,examples/TypeScriptMessaging/metro.config.js,true
/language:javascript-typescript,JavaScript,package/src/__tests__/offline-support/offline-feature.js,true
/language:javascript-typescript,JavaScript,package/src/components/Attachment/__tests__/buildGallery.test.js,true
/language:javascript-typescript,JavaScript,package/src/emoji-data/compile.js,true
/language:javascript-typescript,JavaScript,package/jest-setup.js,true
/language:javascript-typescript,JavaScript,examples/SampleApp/babel.config.js,true
/language:javascript-typescript,JavaScript,e2e/env.config.js,true
/language:javascript-typescript,JavaScript,package/src/components/Message/MessageSimple/__tests__/MessageReplies.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/reactionUpdated.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/mock.js,true
/language:javascript-typescript,JavaScript,package/src/utils/__tests__/Streami18n.test.js,true
/language:javascript-typescript,JavaScript,release/monorepo-setup.js,true
/language:javascript-typescript,JavaScript,e2e/common/basic-channel-list.e2e.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageList/__tests__/MessageSystem.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/reactionNew.js,true
/language:javascript-typescript,JavaScript,examples/ExpoMessaging/metro.config.js,true
/language:javascript-typescript,JavaScript,e2e/client.js,true
/language:javascript-typescript,JavaScript,package/babel.config.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/deleteReaction.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/messageUpdated.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/notificationMessageNew.js,true
/language:javascript-typescript,JavaScript,examples/SampleApp/jest.config.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageList/__tests__/TypingIndicator.test.js,true
/language:javascript-typescript,JavaScript,release/next.js,true
/language:javascript-typescript,JavaScript,e2e/utils.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/memberAdded.js,true
/language:javascript-typescript,JavaScript,package/src/test-utils/BetterSqlite.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/channelUpdated.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/messageDeleted.js,true
/language:javascript-typescript,JavaScript,e2e/environment.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/userPresence.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/generator/reaction.js,true
/language:javascript-typescript,JavaScript,package/jest.config.js,true
/language:javascript-typescript,JavaScript,examples/TypeScriptMessaging/index.js,true
/language:javascript-typescript,JavaScript,package/src/components/Message/MessageSimple/__tests__/MessageAvatar.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageInput/__tests__/FileUploadPreview.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/sendMessage.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/memberRemoved.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/notificationMutesUpdated.js,true
/language:javascript-typescript,JavaScript,package/src/components/Message/MessageSimple/__tests__/MessageContent.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/Attachment/__tests__/Gallery.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/queryMembers.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageList/__tests__/ScrollToBottomButton.test.js,true
/language:javascript-typescript,JavaScript,package/expo-package/src/index.js,true
/language:javascript-typescript,JavaScript,release/extract-changelog.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/utils.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/userUpdated.js,true
/language:javascript-typescript,JavaScript,package/src/__tests__/offline-support/optimistic-update.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageList/__tests__/MessageList.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/ChannelPreview/__tests__/ChannelPreviewMessenger.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/Message/MessageSimple/__tests__/MessagePinnedHeader.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/ChannelList/__tests__/ChannelList.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/generator/message.js,true
/language:javascript-typescript,JavaScript,docusaurus/reactnative-docusaurus-dontent-docs.plugin.js,true
/language:javascript-typescript,JavaScript,package/rn-cli.config.js,true
/language:javascript-typescript,JavaScript,package/src/components/Chat/__tests__/Chat.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/Channel/__tests__/ownCapabilities.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/Attachment/__tests__/Giphy.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/typing.js,true
/language:javascript-typescript,JavaScript,package/__mocks__/react-native.js,true
/language:javascript-typescript,JavaScript,package/src/components/Attachment/__tests__/Attachment.test.js,true
/language:javascript-typescript,JavaScript,examples/TypeScriptMessaging/babel.config.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/error.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/generator/attachment.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/generator/user.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/reactionDeleted.js,true
/language:javascript-typescript,JavaScript,package/metro-dev-helpers/lib/find-linked-packages.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/generator/member.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageInput/__tests__/ImageUploadPreview.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageInput/__tests__/UploadProgressIndicator.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/channelTruncated.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/notificationRemovedFromChannel.js,true
/language:javascript-typescript,JavaScript,examples/SampleApp/metro.config.js,true
/language:javascript-typescript,JavaScript,e2e/common/basic-message-list.e2e.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/channelDeleted.js,true
/language:javascript-typescript,JavaScript,package/src/components/Avatar/__tests__/Avatar.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/notificationAddedToChannel.js,true
/language:javascript-typescript,JavaScript,package/src/components/Message/MessageSimple/__tests__/MessageStatus.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/Message/MessageSimple/__tests__/Message.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/ChannelList/__tests__/ChannelListMessenger.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/memberUpdated.js,true
/language:javascript-typescript,JavaScript,package/src/utils/__tests__/utils.test.js,true
/language:javascript-typescript,JavaScript,release/release.config.js,true
/language:javascript-typescript,JavaScript,examples/SampleApp/index.js,true
/language:javascript-typescript,JavaScript,examples/ExpoMessaging/index.js,true
/language:javascript-typescript,JavaScript,package/src/components/AutoCompleteInput/__tests__/AutoCompleteInput.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/queryChannels.js,true
/language:javascript-typescript,JavaScript,release/prod.js,true
/language:javascript-typescript,JavaScript,commitlint.config.js,true
/language:javascript-typescript,JavaScript,package/src/components/Channel/__tests__/Channel.test.js,true
/language:javascript-typescript,JavaScript,package/src/emoji-data/index.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/useMockedApis.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/channelHidden.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/native/react-native-mock.js,true
/language:javascript-typescript,JavaScript,package/bin/validate-translations.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageInput/__tests__/MessageInput.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/messageNew.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/messageRead.js,true
/language:javascript-typescript,JavaScript,package/native-package/src/index.js,true
/language:javascript-typescript,JavaScript,package/src/components/docs/data.js,true
/language:javascript-typescript,JavaScript,package/src/components/Thread/__tests__/Thread.test.js,true
/language:javascript-typescript,JavaScript,package/src/components/MessageInput/__tests__/AttachButton.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/api/threadReplies.js,true
/language:javascript-typescript,JavaScript,package/metro-dev-helpers/lib/extract-extra-node-modules.js,true
/language:javascript-typescript,JavaScript,package/metro-dev-helpers/extract-linked-packages.js,true
/language:javascript-typescript,JavaScript,package/rollup-react-native-image.js,true
/language:javascript-typescript,JavaScript,package/src/components/Channel/__tests__/isAttachmentEqualHandler.test.js,true
/language:javascript-typescript,JavaScript,package/src/mock-builders/event/connectionChanged.js,true
/language:javascript-typescript,JavaScript,package/src/contexts/suggestionsContext/__tests__/Suggestions.test.js,true
/language:javascript-typescript,TypeScript,package/src/contexts/themeContext/utils/theme.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/RTF.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/UserSearch/UserSearchResultsGrid.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Chat/hooks/useAppSettings.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/buildGallery/buildGalleryOfTwoImages.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/MD.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Recorder.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/openUrlSafely.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/icons/DownArrow.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/ChannelInfoOverlay.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/CircleClose.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/channelsStateContext/useChannelState.ts,true
/language:javascript-typescript,TypeScript,package/src/store/apis/getLastSyncedAt.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Chat/hooks/handleEventToSyncDB.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Indicators/EmptyStateIndicator.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/LOLReaction.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/MailOpen.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/UnreadCountBadge.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/imageGalleryContext/ImageGalleryContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/overlayContext/OverlayContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Message/utils/messageActions.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/PDF.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/utils/base.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/context/BottomSheetOverlayContext.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/UserSearch/UserSearchResults.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/NewDirectMessagingSendButton.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapStorableToReaction.ts,true
/language:javascript-typescript,TypeScript,package/src/components/AutoCompleteInput/AutoCompleteSuggestionHeader.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/components/InputEditingStateHeader.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/GenericFile.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/FileAttachment.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Delete.tsx,true
/language:javascript-typescript,TypeScript,package/src/hooks/useAppStateListener.ts,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapReadToStorable.ts,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/FileUploadPreview.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/components/InputReplyStateHeader.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Chat/hooks/useIsOnline.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/components/AnimatedGalleryVideo.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/utils.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/icons/Delete.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/index.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/utils/defaultBaseContextValue.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/context/UserSearchContext.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/screens/NewGroupChannelAssignNameScreen.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/AttachmentPicker/components/AttachmentPickerItem.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelPreview/ChannelPreviewMessage.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/getGalleryImageBorderRadius.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/GiphyIcon.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/ChatUsers.ts,true
/language:javascript-typescript,TypeScript,package/src/init.ts,true
/language:javascript-typescript,TypeScript,package/src/store/apis/queries/selectMessagesForChannels.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/LoveReaction.tsx,true
/language:javascript-typescript,TypeScript,package/native-package/src/handlers/saveFile.ts,true
/language:javascript-typescript,TypeScript,package/src/mock-builders/generator/channel.ts,true
/language:javascript-typescript,TypeScript,package/native-package/src/optionalDependencies/index.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/icons/Check.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/getAspectRatio.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/hooks/listeners/useNewMessageNotification.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/context/AppOverlayProvider.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/icons/Settings.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/apis/upsertUserSyncStatus.ts,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapStorableToMessage.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/DownloadArrow.tsx,true
/language:javascript-typescript,TypeScript,package/expo-package/src/handlers/takePhoto.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/components/ImageGalleryHeader.tsx,true
/language:javascript-typescript,TypeScript,package/src/mock-builders/DB/consts.ts,true
/language:javascript-typescript,TypeScript,package/native-package/src/handlers/Sound.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/ownCapabilitiesContext/OwnCapabilitiesContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/apis/getAppSettings.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/getGiphyMimeType.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/buildGallery/types.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Channel/Channel.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/utils/buildGallery/buildGallery.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/types.ts,true
/language:javascript-typescript,TypeScript,package/src/utils/DBSyncManager.ts,true
/language:javascript-typescript,TypeScript,package/src/store/apis/deleteMessage.ts,true
/language:javascript-typescript,TypeScript,package/src/components/MessageList/utils/getDateSeparators.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ImageGallery/hooks/useImageGalleryGestures.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/UserSearch/SelectedUserTag.tsx,true
/language:javascript-typescript,TypeScript,package/src/contexts/__tests__/index.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Copy.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Group.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/utils/AsyncStore.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/utils/getDisplayName.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Channel/hooks/useCreatePaginatedMessageListContext.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/CSV.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Warning.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Unknown.tsx,true
/language:javascript-typescript,TypeScript,package/expo-package/src/handlers/getPhotos.ts,true
/language:javascript-typescript,TypeScript,package/native-package/src/handlers/NetInfo.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/debugContext/DebugContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/apis/queries/selectMembersForChannels.ts,true
/language:javascript-typescript,TypeScript,package/src/store/apis/getPendingTasks.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/AttachmentActions.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelPreview/__tests__/ChannelPreview.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Sound.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/Audio.tsx,true
/language:javascript-typescript,TypeScript,package/src/__tests__/offline-support/index.test.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/typingContext/TypingContext.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/apis/upsertCidsForQuery.ts,true
/language:javascript-typescript,TypeScript,package/src/components/Indicators/LoadingDots.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/ChannelPreview.tsx,true
/language:javascript-typescript,TypeScript,package/src/emoji-data/compiled.ts,true
/language:javascript-typescript,TypeScript,package/src/contexts/messageInputContext/hooks/useCreateMessageInputContext.ts,true
/language:javascript-typescript,TypeScript,package/src/components/ChannelList/hooks/useCreateChannelsContext.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/ArrowRight.tsx,true
/language:javascript-typescript,TypeScript,package/src/types/types.ts,true
/language:javascript-typescript,TypeScript,package/src/store/mappers/mapReactionToStorable.ts,true
/language:javascript-typescript,TypeScript,package/src/components/MessageInput/hooks/useCooldown.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/Check.tsx,true
/language:javascript-typescript,TypeScript,package/src/utils/patchMessageTextCommand.ts,true
/language:javascript-typescript,TypeScript,package/src/icons/MenuPointVertical.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/UserAdmin.tsx,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/hooks/useChannelMembersStatus.ts,true
/language:javascript-typescript,TypeScript,examples/SampleApp/src/components/BottomSheetOverlay.tsx,true
/language:javascript-typescript,TypeScript,package/src/store/constants.ts,true
/language:javascript-typescript,TypeScript,package/src/components/MessageList/__tests__/useMessageList.test.tsx,true
/language:javascript-typescript,TypeScript,package/src/components/Attachment/VideoThumbnail.tsx,true
/language:javascript-typescript,TypeScript,package/src/icons/SendRight.tsx,true
